text,,,,,,,,,,,,,,,,,,,,
"Love you, Mamba. #RIPKobe https://t.co/5yOHhU8d7c",,,,,,,,,,,,,,,,,,,,
I'm watching Kobe's final game. I know exactly what happens because I watched it as it happened $ have seen it mult… https://t.co/YP9ks1IIxx ,,,,,,,,,,,,,,,,,,,,
Watching Kobe's Farewell game and I'm still getting chill's...! #Mamba #RIPKobe,,,,,,,,,,,,,,,,,,,,
"Bro, one thing about Kobe.....he ALWAYS had that swag. Iykyk 💯🏀 #RIPKobe #HOF",,,,,,,,,,,,,,,,,,,,
"Kobe, Duncan and Garnett what a HOF class!!! Legends!! #kobe #kg #duncan #nbahalloffame #halloffame #goats🐐… https://t.co/9VSFWY5vab",,,,,,,,,,,,,,,,,,,,
"Smiling from above on us. 😔 
Welcome to the Hall of Fame, Kob Kob. Never knew it would happen this. Keep looking do… https://t.co/QBx2dB3mfd",,,,,,,,,,,,,,,,,,,,
"My dad and I jumped from our couch with joy when he made this. Thanks for bringing joy to my childhood, Kobe. 1st B… https://t.co/PNfRRJI6Oc",,,,,,,,,,,,,,,,,,,,
"Kobe ""Bean"" Bryant makes it into the Hall of Fame... But in a way it's sad and not that there is gonna be no audien… https://t.co/ZGf3PXG060",,,,,,,,,,,,,,,,,,,,
❤🙏🏽😢 The last two-and-a-half months has been a complete nightmare for Vanessa and her her family. #RIPKobe #RIPGigi… https://t.co/n2QLGTs3M0,,,,,,,,,,,,,,,,,,,,
Vanessa is a strong woman. ❤ #RIPKobe #RIPGIGI https://t.co/qmpsWXsnT1,,,,,,,,,,,,,,,,,,,,
KOBE BEAN BRYANT HALL OF FAMER #RIPKOBE 🙌🏽🐐🙏🏾🐍💜💛💔🙏🏾,,,,,,,,,,,,,,,,,,,,
#Gamesix on abc #letsgoceltics #2008 #celticsvslakers #bigticket  #thetruth #rayallen #ripkobe https://t.co/RuN2AGNYAr,,,,,,,,,,,,,,,,,,,,
We MISS you @kobebryant #RIPKobe #HOF 😢🥺🙏🏽🐍🏀🕊,,,,,,,,,,,,,,,,,,,,
Vanessa and Natalia Bryant joined Rece Davis to give their thoughts on Kobe's induction into the Basketball Hall of… https://t.co/UcVkxcprJY,,,,,,,,,,,,,,,,,,,,
Welcome to the Basketball Hall of Fame Kobe 🏆🏆🏆🏆🏆#20HoopClass #LakeShow #RIPKobe https://t.co/hrLRFqHh1J,,,,,,,,,,,,,,,,,,,,
